solar_ref_shape,wind_ref_shape
0.019598712228976196,0.0
0.217751621597835,0.0
0.5014602384632341,0.018
0.465654829031082,0.06
0.3740693068054981,0.12
0.23216796458973019,0.176
0.07274102531916468,0.144
0.0,0.212
0.0,0.504
0.0,0.702
0.0,0.756
0.0,0.488
0.0,0.312
0.0,0.114
0.0,0.05
0.0,0.151
0.0,0.206
0.0,0.32
0.0,0.412
0.0,0.49
0.0,0.596
0.0,0.925
0.10336378638199197,0.95
0.2598698858541724,1.0
0.25176639768646264,1.0
0.4586823847149639,1.0
0.4779042684149054,1.0
0.44407762745855145,1.0
0.3506074043233062,1.0
0.21671520357686755,1.0
0.06689906659015094,1.0
