solar_bus_fault,fossil_bus_fault,battery_bus_fault
0.0,274.833,0.0
0.0,573.75,0.0
336.885,319.869,0.0
249.795,361.781,0.8985578245077454
1387.373,0.0,-0.9999999079541247
650.141,187.619,0.0
683.897,113.532,0.0
636.301,106.995,0.39682813675796
789.554,0.0,-0.44162629795039304
420.6,236.965,0.0
93.167,493.22200000000004,0.0
0.0,680.814,0.0
0.0,625.414,0.0
0.0,498.21200000000005,0.0
0.0,463.405,0.0
0.0,294.887,0.06641983335147068
0.0,0.0,0.9335800746026539
0.0,0.0,-0.5876819080853755
0.0,0.0,-0.5252074225525876
