pv_production_factor_series,wind_production_factor_series
0.0,0.49239428450522316
0.0,0.8527975785096391
0.0,0.6043089431190745
0.0,0.5699321460340439
0.0,0.5054013536036962
0.0,0.5163940626505537
0.0,0.3652971462527878
0.007955,0.37406553528923653
0.18878,0.11388819373282831
0.176948,0.12621123662401368
0.181227,0.25157200507253
0.263866,0.2664160151284042
0.425254,0.24592957697962936
0.215089,0.26452433243854817
0.15678299999999998,0.4158550375285265
0.020422999999999997,0.3444456819020127
0.000322,0.18681729019211854
0.0,0.17225305751900327
0.0,0.2458966688226392
0.0,0.3899493063511908
0.0,0.26211293739278746
0.0,0.3095672596296856
0.0,0.24717254373249944
0.0,0.33420955623362963
0.0,0.4092627857337387
0.0,0.45577949830631154
0.0,0.5686011348269954
0.0,0.44405951717225356
0.0,0.42536596988617825
0.0,0.33520833499638103
0.0,0.19372956538722008
0.10302599999999999,0.8516183939860612
0.11445999999999999,0.33815578128595986
0.060534,0.2589601019633411
0.074906,0.17384898164629362
0.596039,0.12558806082643945
0.582656,0.13884063481885994
0.287928,0.16033530187339187
0.41358300000000003,0.14296168134991563
0.243909,0.09783306392988089
0.048528,0.09452350058881007
0.0,0.6380897602181187
0.0,0.7362429020157578
0.0,0.6261716329847236
0.0,0.7461585483315735
0.0,0.4811170211405056
0.0,0.49343373562922327
0.0,0.4380100525591109
0.0,0.444352557291914
0.0,0.28373843381484337
0.0,0.3639333942206142
0.0,0.42813291847065804
0.0,0.3389884065028823
0.0,0.23706343670866273
0.0,0.2110358180437022
0.0,0.2004843994937361
0.052649999999999995,0.022947596668243704
0.198237,0.0038991762150955224
0.5266109999999999,0.0
0.570169,0.0
0.214307,0.0
0.141107,0.0
0.163796,0.0
0.061302999999999996,0.011674244759554838
0.050636,0.06396691663539188
0.0,0.14775142808642674
0.0,0.0923495609369457
0.0,0.03427524428213692
0.0,0.05990818214399097
0.0,0.041753749096923753
0.0,0.02070830049738562
0.0,0.030830954981724817
0.0,0.029779392950665198
0.0,0.030129913627685072
0.0,0.04031271964695314
0.0,0.0465571805968258
0.0,0.09918647647640734
0.0,0.16580081350592013
0.0,0.23835484707835417
0.160051,0.4292397449198701
0.37861700000000004,0.17754525056736895
0.52426,0.09069061633591412
0.607795,0.34364614744283417
0.638159,0.3198652310770343
0.624232,0.40958686922558163
0.566841,0.5263289024238765
0.45666199999999996,0.44234141883687256
0.27601299999999995,0.32606276771679005
0.062015,0.1599884705467511
0.0,0.270150809860674
0.0,0.40195030523995445
0.0,0.3888031892016119
0.0,0.4179933646870393
0.0,0.4245646437814244
0.0,0.4759804810979026
0.0,0.4449889071330679
0.0,0.4623325470279485
0.0,0.35798975339472827
0.0,0.34449372243744664
0.0,0.35318769202301986
0.0,0.24670486575387837
0.0,0.29466595363237164
0.0,0.35416908075893966
0.046793,0.2535312981910897
0.125205,0.12554646105057402
0.327582,0.11883948378399231
0.578662,0.14114720850984436
0.619081,0.20313967963177537
0.611677,0.323939232052198
0.555149,0.338648539154207
0.44553,0.56215886630101
0.273051,0.6459898983567555
0.063397,0.27858384102117123
0.0,0.22477879543254858
0.0,0.11617342024022384
0.0,0.006307384794948859
0.0,0.0
0.0,0.11712307208843009
0.0,0.032131825319269496
0.0,0.10517943618041835
0.0,0.0
0.0,0.0034901139123081604
0.0,0.02372389877919855
0.0,0.0334919328528698
0.0,0.0020946804732122643
0.0,0.05006675573998966
0.0,0.05102255607476435
0.156028,0.03279421613332184
0.36307,0.004510923436868779
0.508469,0.0
0.6009249999999999,0.0
0.639752,0.0
0.626214,0.0
0.564151,0.0
0.45032900000000003,0.0
0.272847,0.013753587225970762
0.064316,0.061184645254010704
0.0,0.04830794099110234
0.0,0.04597654759210253
0.0,0.027044986808702248
0.0,0.036107542912017364
0.0,0.04482904554421244
0.0,0.21677647195959276
0.0,0.270843771978065
0.0,0.21001807641069217
0.0,0.1083714697528315
0.0,0.12998967966668715
0.0,0.1444097800533641
0.0,0.1784936760779649
0.0,0.13299296067163727
0.0,0.15494240466459455
0.154274,0.11686065649770302
0.367816,0.12139294028262737
0.5221399999999999,0.15181416236234224
0.617752,0.0917432264847127
0.657802,0.10423571828138915
0.643762,0.14520125989125449
0.582132,0.18262029286848327
0.469137,0.2150095959393502
0.292116,0.19408653555638705
0.073617,0.25195950879009954
0.0,0.2369875436488229
0.0,0.07689334711951053
0.0,0.07498108648074948
0.0,0.12579584465690805
0.0,0.11396933660898349
0.0,0.08182796084621531
0.0,0.06795288098521218
0.0,0.04355187847103427
0.0,0.0
0.0,0.0
0.0,0.0529900891349976
0.0,0.04056039498305087
0.0,0.0003503886743424118
0.0,0.07756038433007892
0.042235,0.06604566653079384
0.14522900000000002,0.05074796338941114
0.48446,0.0
0.402081,0.0
0.608544,0.0
0.502734,0.0
0.530417,0.0
0.365723,0.0
0.227643,0.0
