hour,t(sec),Tap(pu),Type,Name
281,0.0,1.0,Capacitor,moncapacitor-cap1
282,0.0,1.0,Capacitor,moncapacitor-cap1
283,0.0,1.0,Capacitor,moncapacitor-cap1
284,0.0,1.0,Capacitor,moncapacitor-cap1
285,0.0,1.0,Capacitor,moncapacitor-cap1
286,0.0,1.0,Capacitor,moncapacitor-cap1
287,0.0,1.0,Capacitor,moncapacitor-cap1
288,0.0,1.0,Capacitor,moncapacitor-cap1
289,0.0,1.0,Capacitor,moncapacitor-cap1
290,0.0,1.0,Capacitor,moncapacitor-cap1
291,0.0,1.0,Capacitor,moncapacitor-cap1
292,0.0,1.0,Capacitor,moncapacitor-cap1
293,0.0,1.0,Capacitor,moncapacitor-cap1
294,0.0,1.0,Capacitor,moncapacitor-cap1
295,0.0,1.0,Capacitor,moncapacitor-cap1
296,0.0,1.0,Capacitor,moncapacitor-cap1
297,0.0,1.0,Capacitor,moncapacitor-cap1
298,0.0,1.0,Capacitor,moncapacitor-cap1
299,0.0,1.0,Capacitor,moncapacitor-cap1
300,0.0,1.0,Capacitor,moncapacitor-cap1
301,0.0,1.0,Capacitor,moncapacitor-cap1
302,0.0,1.0,Capacitor,moncapacitor-cap1
303,0.0,1.0,Capacitor,moncapacitor-cap1
304,0.0,1.0,Capacitor,moncapacitor-cap1
305,0.0,1.0,Capacitor,moncapacitor-cap1
306,0.0,1.0,Capacitor,moncapacitor-cap1
307,0.0,1.0,Capacitor,moncapacitor-cap1
308,0.0,1.0,Capacitor,moncapacitor-cap1
309,0.0,1.0,Capacitor,moncapacitor-cap1
310,0.0,1.0,Capacitor,moncapacitor-cap1
311,0.0,1.0,Capacitor,moncapacitor-cap1
312,0.0,1.0,Capacitor,moncapacitor-cap1
313,0.0,1.0,Capacitor,moncapacitor-cap1
314,0.0,1.0,Capacitor,moncapacitor-cap1
315,0.0,1.0,Capacitor,moncapacitor-cap1
316,0.0,1.0,Capacitor,moncapacitor-cap1
317,0.0,1.0,Capacitor,moncapacitor-cap1
318,0.0,1.0,Capacitor,moncapacitor-cap1
319,0.0,1.0,Capacitor,moncapacitor-cap1
320,0.0,1.0,Capacitor,moncapacitor-cap1
321,0.0,1.0,Capacitor,moncapacitor-cap1
322,0.0,1.0,Capacitor,moncapacitor-cap1
323,0.0,1.0,Capacitor,moncapacitor-cap1
324,0.0,1.0,Capacitor,moncapacitor-cap1
325,0.0,1.0,Capacitor,moncapacitor-cap1
326,0.0,1.0,Capacitor,moncapacitor-cap1
327,0.0,1.0,Capacitor,moncapacitor-cap1
328,0.0,1.0,Capacitor,moncapacitor-cap1
329,0.0,1.0,Capacitor,moncapacitor-cap1
330,0.0,1.0,Capacitor,moncapacitor-cap1
331,0.0,1.0,Capacitor,moncapacitor-cap1
332,0.0,1.0,Capacitor,moncapacitor-cap1
333,0.0,1.0,Capacitor,moncapacitor-cap1
334,0.0,1.0,Capacitor,moncapacitor-cap1
335,0.0,1.0,Capacitor,moncapacitor-cap1
336,0.0,1.0,Capacitor,moncapacitor-cap1
337,0.0,1.0,Capacitor,moncapacitor-cap1
338,0.0,1.0,Capacitor,moncapacitor-cap1
339,0.0,1.0,Capacitor,moncapacitor-cap1
340,0.0,1.0,Capacitor,moncapacitor-cap1
341,0.0,1.0,Capacitor,moncapacitor-cap1
342,0.0,1.0,Capacitor,moncapacitor-cap1
343,0.0,1.0,Capacitor,moncapacitor-cap1
344,0.0,1.0,Capacitor,moncapacitor-cap1
345,0.0,1.0,Capacitor,moncapacitor-cap1
346,0.0,1.0,Capacitor,moncapacitor-cap1
347,0.0,1.0,Capacitor,moncapacitor-cap1
348,0.0,1.0,Capacitor,moncapacitor-cap1
349,0.0,1.0,Capacitor,moncapacitor-cap1
350,0.0,1.0,Capacitor,moncapacitor-cap1
351,0.0,1.0,Capacitor,moncapacitor-cap1
352,0.0,1.0,Capacitor,moncapacitor-cap1
353,0.0,1.0,Capacitor,moncapacitor-cap1
354,0.0,1.0,Capacitor,moncapacitor-cap1
355,0.0,1.0,Capacitor,moncapacitor-cap1
356,0.0,1.0,Capacitor,moncapacitor-cap1
357,0.0,1.0,Capacitor,moncapacitor-cap1
358,0.0,1.0,Capacitor,moncapacitor-cap1
359,0.0,1.0,Capacitor,moncapacitor-cap1
360,0.0,1.0,Capacitor,moncapacitor-cap1
361,0.0,1.0,Capacitor,moncapacitor-cap1
362,0.0,1.0,Capacitor,moncapacitor-cap1
363,0.0,1.0,Capacitor,moncapacitor-cap1
364,0.0,1.0,Capacitor,moncapacitor-cap1
365,0.0,1.0,Capacitor,moncapacitor-cap1
366,0.0,1.0,Capacitor,moncapacitor-cap1
367,0.0,1.0,Capacitor,moncapacitor-cap1
368,0.0,1.0,Capacitor,moncapacitor-cap1
369,0.0,1.0,Capacitor,moncapacitor-cap1
370,0.0,1.0,Capacitor,moncapacitor-cap1
371,0.0,1.0,Capacitor,moncapacitor-cap1
