hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
94,0.0,394.019,-97.9983,,,,,74.4635,60.0,,,,,monisource-isource_newdiesel675_1_shape,29.3400338065,,
95,0.0,341.091,-97.9983,,,,,64.4328,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.9774481848,,
96,0.0,323.26099999999997,-97.9983,,,,,61.0537,60.0,,,,,monisource-isource_newdiesel675_1_shape,19.736280115699998,,
97,0.0,308.27,-97.9983,,,,,58.2127,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.945229028999997,,
98,0.0,305.676,-97.9983,,,,,57.721000000000004,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.643924396000003,,
99,0.0,304.33299999999997,-97.9983,,,,,57.4665,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.4889523445,,
100,0.0,301.072,-97.9983,,,,,56.8485,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.115491592,,
101,0.0,342.57199999999995,-97.9983,,,,,64.7135,60.0,,,,,monisource-isource_newdiesel675_1_shape,22.169033121999995,,
102,0.0,361.167,-97.9983,,,,,68.2376,60.0,,,,,monisource-isource_newdiesel675_1_shape,24.6451692792,,
103,0.0,472.284,-97.9983,,,,,89.2961,60.0,,,,,monisource-isource_newdiesel675_1_shape,42.173119292399996,,
104,0.0,520.04,-97.9983,,,,,98.3467,60.0,,,,,monisource-isource_newdiesel675_1_shape,51.14421786799999,,
105,0.0,344.12800000000004,-97.9983,,,,,65.0082,60.0,,,,,monisource-isource_newdiesel675_1_shape,22.371141849600004,,
106,0.0,129.144,-97.9983,,,,,24.265,60.0,,,,,monisource-isource_newdiesel675_1_shape,3.1336791600000002,,
107,0.0,42.254,82.0017,,,,,8.217880000000001,-120.0,,,,,monisource-isource_newdiesel675_1_shape,0.34723830152000007,,
