hour,t(sec),Tap(pu),Type,Name,t(sec)
68,0.0,1.06875,Transformer,monregcontrol-reg3,
69,0.0,1.06875,Transformer,monregcontrol-reg3,
70,0.0,1.06875,Transformer,monregcontrol-reg3,
71,0.0,1.06875,Transformer,monregcontrol-reg3,
72,0.0,1.06875,Transformer,monregcontrol-reg3,
73,0.0,1.06875,Transformer,monregcontrol-reg3,
74,0.0,1.06875,Transformer,monregcontrol-reg3,
75,0.0,1.06875,Transformer,monregcontrol-reg3,
76,0.0,1.06875,Transformer,monregcontrol-reg3,
77,0.0,1.06875,Transformer,monregcontrol-reg3,
78,0.0,1.06875,Transformer,monregcontrol-reg3,
79,0.0,1.06875,Transformer,monregcontrol-reg3,
80,0.0,1.06875,Transformer,monregcontrol-reg3,
81,0.0,1.06875,Transformer,monregcontrol-reg3,
82,0.0,1.06875,Transformer,monregcontrol-reg3,
83,0.0,1.06875,Transformer,monregcontrol-reg3,
84,0.0,1.06875,Transformer,monregcontrol-reg3,
85,0.0,1.06875,Transformer,monregcontrol-reg3,
86,0.0,1.06875,Transformer,monregcontrol-reg3,
87,0.0,1.06875,Transformer,monregcontrol-reg3,
88,0.0,1.06875,Transformer,monregcontrol-reg3,
89,0.0,1.06875,Transformer,monregcontrol-reg3,
90,0.0,1.06875,Transformer,monregcontrol-reg3,
91,0.0,1.06875,Transformer,monregcontrol-reg3,
92,0.0,1.06875,Transformer,monregcontrol-reg3,
93,0.0,1.06875,Transformer,monregcontrol-reg3,
94,0.0,1.06875,Transformer,monregcontrol-reg3,
95,0.0,1.06875,Transformer,monregcontrol-reg3,
96,0.0,1.06875,Transformer,monregcontrol-reg3,
97,0.0,1.06875,Transformer,monregcontrol-reg3,
98,0.0,1.06875,Transformer,monregcontrol-reg3,
99,0.0,1.06875,Transformer,monregcontrol-reg3,
100,0.0,1.06875,Transformer,monregcontrol-reg3,
101,0.0,1.06875,Transformer,monregcontrol-reg3,
102,0.0,1.06875,Transformer,monregcontrol-reg3,
103,0.0,1.06875,Transformer,monregcontrol-reg3,
104,0.0,1.06875,Transformer,monregcontrol-reg3,
105,0.0,1.06875,Transformer,monregcontrol-reg3,
106,0.0,1.06875,Transformer,monregcontrol-reg3,
107,0.0,1.06875,Transformer,monregcontrol-reg3,
108,0.0,1.06875,Transformer,monregcontrol-reg3,
109,0.0,1.06875,Transformer,monregcontrol-reg3,
110,0.0,1.06875,Transformer,monregcontrol-reg3,
111,0.0,1.06875,Transformer,monregcontrol-reg3,
112,0.0,1.06875,Transformer,monregcontrol-reg3,
113,0.0,1.06875,Transformer,monregcontrol-reg3,
114,0.0,1.06875,Transformer,monregcontrol-reg3,
115,0.0,1.06875,Transformer,monregcontrol-reg3,
116,0.0,1.06875,Transformer,monregcontrol-reg3,
117,0.0,1.06875,Transformer,monregcontrol-reg3,
118,0.0,1.06875,Transformer,monregcontrol-reg3,
119,0.0,1.06875,Transformer,monregcontrol-reg3,
120,0.0,1.06875,Transformer,monregcontrol-reg3,
121,0.0,1.06875,Transformer,monregcontrol-reg3,
122,0.0,1.06875,Transformer,monregcontrol-reg3,
123,0.0,1.06875,Transformer,monregcontrol-reg3,
124,0.0,1.06875,Transformer,monregcontrol-reg3,
125,0.0,1.06875,Transformer,monregcontrol-reg3,
126,0.0,1.06875,Transformer,monregcontrol-reg3,
127,0.0,1.06875,Transformer,monregcontrol-reg3,
128,0.0,1.06875,Transformer,monregcontrol-reg3,
129,0.0,1.06875,Transformer,monregcontrol-reg3,
130,0.0,1.06875,Transformer,monregcontrol-reg3,
131,0.0,1.06875,Transformer,monregcontrol-reg3,
132,0.0,1.06875,Transformer,monregcontrol-reg3,
133,0.0,1.06875,Transformer,monregcontrol-reg3,
134,0.0,1.06875,Transformer,monregcontrol-reg3,
135,0.0,1.06875,Transformer,monregcontrol-reg3,
136,0.0,1.06875,Transformer,monregcontrol-reg3,
137,0.0,1.06875,Transformer,monregcontrol-reg3,
138,0.0,1.06875,Transformer,monregcontrol-reg3,
