hour,671_hospital,634a_supermarket,634b_supermarket,634c_supermarket,645_warehouse1,646_med_office,692_warehouse2,675a_residential1,675b_residential1,675c_residential1,611_hotel,652_med_apartment,670a_residential2,670b_residential2,670c_residential2
82,622.575,93.885,93.885,31.295,92.66633333,162.9966667,92.66633333,90.70838107,13.60625716,54.42502864,153.909,38.13945,4.535419054,18.14167621,36.28335243
83,631.312,92.2,92.2,30.73333333,92.66633333,156.6606667,92.66633333,77.83088732,11.6746331,46.69853239,117.986,32.72495,3.891544366,15.56617746,31.13235493
84,641.384,103.5876667,103.5876667,34.52922222,92.66633333,155.939,92.66633333,77.05638259,11.55845739,46.23382955,120.753,32.3993,3.85281913,15.41127652,30.82255304
85,631.1,100.912,100.912,33.63733333,83.52466667,156.06,83.52466667,74.90981652,11.23647248,44.94588991,126.436,31.49675,3.745490826,14.9819633,29.96392661
86,651.422,101.9576667,101.9576667,33.98588889,92.66633333,155.8346667,92.66633333,74.86760107,11.23014016,44.92056064,133.226,31.479,3.743380054,14.97352021,29.94704043
87,661.942,101.6886667,101.6886667,33.89622222,92.66633333,152.7676667,92.66633333,74.53082887,11.17962433,44.71849732,134.978,31.3374,3.726541444,14.90616577,29.81233155
88,669.209,101.19,101.19,33.73,92.66633333,153.303,92.66633333,79.80407278,11.97061092,47.88244367,134.618,33.5546,3.990203639,15.96081456,31.92162911
89,671.771,101.478,101.478,33.826,92.66633333,156.5453333,92.66633333,107.2738397,16.09107596,64.36430382,140.905,45.1046,5.363691985,21.45476794,42.90953588
90,679.776,104.2336667,104.2336667,34.74455556,41.493,154.4436667,41.493,134.2647289,20.13970934,80.55883734,172.907,56.45325,6.713236445,26.85294578,53.70589156
91,526.665,101.5633333,101.5633333,33.85444444,32.89233333,128.3056667,32.89233333,153.6278227,23.04417341,92.17669362,211.96,64.5947,7.681391135,30.72556454,61.45112908
92,521.332,98.58733333,98.58733333,32.86244444,32.89233333,127.8156667,32.89233333,150.0637691,22.50956537,90.03826146,227.716,63.09615,7.503188455,30.01275382,60.02550764
93,438.004,89.37433333,89.37433333,29.79144444,32.89233333,113.1096667,32.89233333,148.4454312,22.26681468,89.06725872,251.888,62.4157,7.42227156,29.68908624,59.37817248
94,419.402,63.04566667,63.04566667,21.01522222,32.89233333,118.182,32.89233333,128.3561128,19.25341692,77.01366768,237.293,53.9689,6.41780564,25.67122256,51.34244512
95,366.12,42.46033333,42.46033333,14.15344444,32.89233333,40.896,32.89233333,102.8548936,15.42823404,61.71293616,175.815,43.2466,5.14274468,20.57097872,41.14195744
96,366.428,52.34166667,52.34166667,17.44722222,32.89233333,37.28666667,32.89233333,81.17910704,12.17686606,48.70746422,122.756,34.13275,4.058955352,16.23582141,32.47164282
97,360.267,45.92733333,45.92733333,15.30911111,32.89233333,37.28666667,32.89233333,67.55648099,10.13347215,40.53388859,111.424,28.40495,3.37782405,13.5112962,27.0225924
98,358.932,42.78333333,42.78333333,14.26111111,32.89233333,37.28666667,32.89233333,65.39172066,9.808758099,39.2350324,106.378,27.49475,3.269586033,13.07834413,26.15668826
99,358.187,42.814,42.814,14.27133333,32.89233333,37.28666667,32.89233333,64.30945941,9.646418912,38.58567565,99.856,27.0397,3.215472971,12.86189188,25.72378376
100,353.467,42.829,42.829,14.27633333,32.89233333,37.28666667,32.89233333,63.76826933,9.5652404,38.2609616,98.938,26.81215,3.188413467,12.75365387,25.50730773
101,412.492,45.46733333,45.46733333,15.15577778,32.89233333,37.28666667,32.89233333,71.40355644,10.71053347,42.84213386,101.193,30.0225,3.570177822,14.28071129,28.56142258
102,420.427,45.48533333,45.48533333,15.16177778,32.89233333,40.896,32.89233333,88.09197496,13.21379624,52.85518498,121.078,37.03935,4.404598748,17.61839499,35.23678998
103,560.373,63.627,63.627,21.209,43.28366667,101.2906667,43.28366667,107.6472382,16.14708573,64.58834292,196.418,45.2616,5.38236191,21.52944764,43.05889528
104,634.683,64.71866667,64.71866667,21.57288889,53.109,109.7453333,53.109,98.75523903,14.81328585,59.25314342,218.3,41.52285,4.937761952,19.75104781,39.50209561
105,646.691,93.987,93.987,31.329,76.57566667,173.0756667,76.57566667,104.1252812,15.61879218,62.47516872,203.281,43.78075,5.20626406,20.82505624,41.65011248
106,664.956,111.4116667,111.4116667,37.13722222,92.66633333,169.6486667,92.66633333,127.2230741,19.08346112,76.33384446,217.052,53.4925,6.361153705,25.44461482,50.88922964
107,671.91,111.5333333,111.5333333,37.17777778,92.66633333,174.392,92.66633333,149.3723872,22.40585808,89.62343232,187.995,62.80545,7.46861936,29.87447744,59.74895488
108,668.127,116.563,116.563,38.85433333,92.66633333,172.9053333,92.66633333,135.6633087,20.34949631,81.39798522,178.533,57.0413,6.783165435,27.13266174,54.26532348
109,641.299,114.704,114.704,38.23466667,83.52466667,173.469,83.52466667,140.7835067,21.11752601,84.47010402,180.613,59.19415,7.039175335,28.15670134,56.31340268
